Ek_Özellikler,Güç_W,Çıkarılabilir_Hazne,Zamanlayıcı,Kapasite,Hazne_Sayısı,Türü,Kontrol_Paneli,price,marka,Renk,Materyal,Yağ
LED Ekran,1500,Var,Var,"3 - 3,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,1.990,Xiaomi,,,
Isı Ayarı,1500,Var,Var,"3 - 3,9 lt",Tek,Yağsız_Airfryer,Mekanik,989,Altus,Siyah,Plastik,
Zamanlayıcı,1800,Var,Var,,Çift,Yağsız_Airfryer,Dokunmatik,8.899,Tefal,,Plastik,
Zamanlayıcı,1800,Var,Var,,Çift,Yağsız_Airfryer,Dokunmatik,4.963,Tefal,,Plastik,
,1700,Var,,"5 - 5,9 lt",,,,4.799,Philips,,,
,2225,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,6.199,Philips,Siyah,Plastik,
LED Ekran,1800,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,1.799,Yui,,Metal,
,2200,Var,,,,,,10.399,Philips,,,
LED Ekran,1500,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,3.640,Xiaomi,Siyah,Plastik,
LED Ekran,1350,Var,Var,"3 - 3,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,1.099,Yasomi,,Plastik,
LED Ekran,1550,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,2.549,Karaca,,Metal,
,1550,Var,,"4 - 4,9 lt",,,,2.999,Philips,,,
LED Ekran,1400,Var,Var,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,3.119,Philips,,Plastik,
LED Ekran,1500,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,1.299,Sinbo,,Plastik,
Isı Ayarı,1350,Var,Var,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Mekanik,1.651,ARZUM,,Plastik,
LED Ekran,2250,Var,Var,,Tek,Yağsız_Airfryer,Mekanik,9.299,Philips,,,
Isı Ayarı,1200,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,1.199,Taotronics,Siyah - Gri,Plastik,
,2200,Var,,6 lt ve Üzeri,,,,9.399,Philips,,,
Isı Ayarı,2000,Var,,,,,,6.199,Philips,,,
,1800,Var,,,,,,1.899,Kumtel,,,
Isı Ayarı,1550,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,1.949,Karaca,,Metal,
Isı Ayarı,1700,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,1.999,Hutt,Gri,Plastik,
LED Ekran,1400,Var,Var,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,3.199,Philips,,Plastik,
Isı Ayarı,1500,Var,Var,,Tek,Yağsız_Airfryer,Mekanik,2.669,Xiaomi,Beyaz,Plastik,
Zamanlayıcı,1550,Var,Var,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Mekanik,2.897,Tefal,,,
LED Ekran,1300,Var,Var,"3 - 3,9 lt",Tek,Yağsız_Airfryer,Mekanik,2.000,Karaca,Beyaz,Plastik,
Isı Ayarı,2600,Var,Var,6 lt ve Üzeri,Çift,Yağsız_Airfryer,Dokunmatik,3.549,Hutt,,,
Isı Ayarı,1500,Var,Var,"3 - 3,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,1.198,Yui,,,
Zamanlayıcı,1800,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,2.499,Yui,,Plastik,
Zamanlayıcı,1550,Var,Var,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Mekanik,5.999,Tefal,,,
Isı Ayarı,1900,Var,Var,6 lt ve Üzeri,Tek,,Dokunmatik,3.499,Grundig,,Plastik,
LED Ekran,1500,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,1.798,Kumtel,,,
